recordedAt,temperature,heatIndex,humidity,airPressure,precipitation,light,uvIndex,windDirection,windSpeed
12/31/2024 04:00 PM,30.04,33.3,61.9,1003.62,0,5170.44,0,321.53 °NW,1.03
12/31/2024 05:00 PM,29.29,32.37,64.8,1003.88,0,632.74,0,227.14 °SW,3.73
12/31/2024 06:00 PM,28.3,30.97,68.25,1004.05,0,0.26,0,139.92 °SE,9.27
12/31/2024 07:00 PM,26.68,28.84,77.36,1005.66,0,0,0,41.09 °NE,3
12/31/2024 08:00 PM,26.64,28.84,78.57,1006.32,0,0,0,22.1 °N,0
12/31/2024 09:00 PM,26.04,27.84,82.26,1006.34,0,0,0,20.77 °N,0
12/31/2024 10:00 PM,25.32,26.4,83.38,1006.5,0,0,0,13.86 °N,1.19
12/31/2024 11:00 PM,25.23,26.25,83.09,1006.64,0,0,0,4.5 °N,0
1/1/2025 12:00 AM,25.06,25.9,84.4,1006.47,0,0,0,42.92 °NE,1.34
1/1/2025 01:00 AM,24.59,25,85.48,1005.59,0,0,0,153.35 °SE,2.65
1/1/2025 02:00 AM,24.42,24.69,85.52,1005.18,0,0,0,176.23 °S,0
1/1/2025 03:00 AM,24.54,24.94,84.56,1005.27,0,0,0,175.81 °S,0
1/1/2025 04:00 AM,24.47,24.79,85.03,1005.23,0,0,0,192.12 °S,0
1/1/2025 05:00 AM,24.37,24.62,85.05,1005.18,0,0.12,0,195.68 °S,0
1/1/2025 06:00 AM,24.5,24.89,84.3,1005.73,0,766.78,0,196 °S,0
1/1/2025 07:00 AM,25.08,25.97,83.63,1006.78,0,5206.74,0,154.61 °SE,0
1/1/2025 08:00 AM,26.92,29.29,76.88,1008.57,0,17766.5,0,117.8 °SE,0.37
1/1/2025 09:00 AM,27.75,30.51,72.67,1008.18,0,27814.54,0,122.95 °SE,0.31
1/1/2025 10:00 AM,28.87,32.21,68.63,1008.24,0,45123.61,0.22,63.44 °NE,1.84
1/1/2025 11:00 AM,29.2,32.42,66.04,1006.8,0,40921.05,0.26,42.26 °NE,6.63
1/1/2025 12:00 PM,30.15,33.88,63.58,1006.62,0,52302.8,0.82,79.09 °E,15.71
1/1/2025 01:00 PM,29.39,32.74,65.61,1003.96,0,42380.13,0.31,38 °NE,9.83
1/1/2025 02:00 PM,30.43,34.26,62.55,1004.54,0,51750.79,0.63,207.89 °SW,9.26
1/1/2025 03:00 PM,30.27,33.98,62.87,1003.41,0,33724.91,0,290.22 °W,8.54
1/1/2025 04:00 PM,29.04,31.63,63.17,1003.04,0,8859.92,0,10.29 °N,12.79
1/1/2025 05:00 PM,28.4,30.73,65.06,1003.86,0,1953.47,0,11.22 °N,13.3
1/1/2025 06:00 PM,27.89,30.04,66.67,1004.78,0,0.31,0,30.42 °NE,9.89
1/1/2025 07:00 PM,27.63,29.74,67.92,1005.52,0,0,0,179.19 °S,6.6
1/1/2025 08:00 PM,27.05,28.94,70.11,1005.79,0,0,0,93.47 °E,1.83
1/1/2025 09:00 PM,26.42,28.11,73.47,1005.84,0,0,0,306.88 °NW,0.21
1/1/2025 10:00 PM,25.74,27.1,77.29,1006.07,0,0,0,268.54 °W,0
1/1/2025 11:00 PM,25.15,26.13,79.56,1005.69,0,0,0,142.15 °SE,0
1/2/2025 12:00 AM,25.16,26.14,79.58,1005.93,0,0,0,136.66 °SE,0
1/2/2025 01:00 AM,25.12,26.08,79.62,1005.56,0,0,0,135.87 °SE,0
1/2/2025 02:00 AM,25.16,26.15,78.9,1005.07,0,0,0,129.77 °SE,0.1
1/2/2025 03:00 AM,25.37,26.49,76.45,1004.89,0,0,0,59.63 °NE,0
1/2/2025 04:00 AM,25.02,25.95,77.38,1004.7,0,0,0,52.5 °NE,0
1/2/2025 05:00 AM,24.72,25.47,78.6,1004.82,0,0.07,0,25.33 °NE,0
1/2/2025 06:00 AM,24.48,25.07,79.55,1005.12,0,570.94,0,18 °N,0
1/2/2025 07:00 AM,25.38,26.51,77.4,1006.83,0,6865.11,0,18 °N,0
1/2/2025 08:00 AM,26.88,28.9,73.28,1007.91,0,18114.47,0,22.16 °N,0
1/2/2025 09:00 AM,28.7,31.38,65.69,1007.88,0,42845.48,0.46,43.96 °NE,3.75
1/2/2025 10:00 AM,30.15,33.45,61.51,1007.79,0,51192.44,0.87,54.87 °NE,4.92
1/2/2025 11:00 AM,30.63,34,59.64,1006.32,0,54105.9,0.84,171.76 °S,7.66
1/2/2025 12:00 PM,30.96,34.67,59.64,1005.57,0,51528.56,0.87,142.73 °SE,8.55
1/2/2025 01:00 PM,31.71,35.57,57,1004.34,0,52840.3,0.91,233.27 °SW,10.52
1/2/2025 02:00 PM,31.82,35.73,56.72,1003.15,0,53487.33,0.55,166.05 °S,7.15
1/2/2025 03:00 PM,31.02,34.7,59.27,1002.27,0,24448.41,0,40.55 °NE,7.83
1/2/2025 04:00 PM,30.54,34.29,61.63,1002.56,0,8049.69,0,10.88 °N,0
1/2/2025 05:00 PM,29.53,32.97,65.45,1002.51,0,571.02,0,106.78 °E,6.48
