recordedAt,temperature,heatIndex,humidity,airPressure,precipitation,light,uvIndex,windDirection,windSpeed
12/31/2024 04:00 PM,33.14,38.17,55.06,1007.38,0,25020.75,0,261.13 °W,0.06
12/31/2024 05:00 PM,31.25,35.41,60.2,1007.72,0,1834.33,0,303.07 °NW,0
12/31/2024 06:00 PM,28.15,31.44,73.69,1008.76,0,2.99,0,251.7 °W,0.01
12/31/2024 07:00 PM,27.3,30.4,79.76,1009.54,0,0,0,199.08 °S,0
12/31/2024 08:00 PM,27.2,30.2,80.19,1010.11,0,0,0,193.75 °S,0
12/31/2024 09:00 PM,27.39,30.65,80.12,1010.48,0,0,0,259.62 °W,0
12/31/2024 10:00 PM,27.19,30.04,78.64,1010.58,0,0,0,305.78 °NW,0
12/31/2024 11:00 PM,26.83,29.17,77.64,1010.35,0,0,0,309.47 °NW,0
1/1/2025 12:00 AM,26.88,29.24,77.42,1010.19,0,0,0,318.82 °NW,0
1/1/2025 01:00 AM,26.51,28.6,78.53,1009.42,0,0,0,324.08 °NW,0
1/1/2025 02:00 AM,26.55,28.66,78.29,1008.67,0,0,0,309.9 °NW,0
1/1/2025 03:00 AM,26.62,28.6,75.58,1008.43,0,0,0,320.27 °NW,0
1/1/2025 04:00 AM,26.44,28.34,76.56,1008.41,0,0,0,204.38 °SW,0.12
1/1/2025 05:00 AM,26.34,28.18,77.2,1008.34,0,0,0,243.23 °SW,0.07
1/1/2025 06:00 AM,26.52,28.42,75.4,1008.68,0,618.56,0,225.35 °SW,0.02
1/1/2025 07:00 AM,27.16,29.43,73.4,1009.73,0,4870.38,0,221.23 °SW,0.01
1/1/2025 08:00 AM,28.78,32.15,69.38,1010.2,0,8504.78,0,201.95 °S,0.06
1/1/2025 09:00 AM,30.04,34.09,65.57,1009.97,0,23392.53,0.08,265.22 °W,0.29
1/1/2025 10:00 AM,30.36,34.15,62.83,1009.66,0,34603.11,0.15,180.4 °S,0.62
1/1/2025 11:00 AM,31.95,36.23,57.46,1008.83,0,53661.79,0.87,258.03 °W,1.7
1/1/2025 12:00 PM,32.86,37.38,54.62,1008.05,0,54612.5,1,206.87 °SW,2.03
1/1/2025 01:00 PM,32.56,36.97,55.4,1007.6,0,49920.14,0.63,211.35 °SW,1
1/1/2025 02:00 PM,32.86,37.85,56.08,1006.96,0,52495.75,0.67,270.22 °W,0.5
1/1/2025 03:00 PM,32.02,36.55,58.07,1006.63,0,22987.12,0.1,229.18 °SW,0.16
1/1/2025 04:00 PM,30.77,34.75,61.64,1006.77,0,10646.39,0,231.82 °SW,0.15
1/1/2025 05:00 PM,30.08,33.82,63.9,1007.69,0,2080.43,0,203.73 °SW,0.01
1/1/2025 06:00 PM,29.41,32.92,66.48,1008.59,0,9.53,0,234.4 °SW,0
1/1/2025 07:00 PM,28.94,31.87,65.86,1009.05,0,0,0,166.82 °S,0.03
1/1/2025 08:00 PM,28.53,31.32,67.46,1009.47,0,0,0,211.85 °SW,0.01
1/1/2025 09:00 PM,28.1,30.85,69.9,1009.86,0,0,0,83.61 °E,0
1/1/2025 10:00 PM,27.37,29.73,72.23,1010.04,0,0,0,239.9 °SW,0
1/1/2025 11:00 PM,27.08,29.2,72.4,1009.52,0,0,0,232.55 °SW,0.01
1/2/2025 12:00 AM,26.88,28.88,72.93,1009.57,0,0,0,186.27 °S,0
1/2/2025 01:00 AM,26.76,28.73,73.78,1009.25,0,0,0,316.42 °NW,0
1/2/2025 02:00 AM,26.87,28.97,74.22,1008.52,0,0,0,189.03 °S,0
1/2/2025 03:00 AM,27.04,29.16,72.88,1008.14,0,0,0,326.72 °NW,0
1/2/2025 04:00 AM,27.05,29.05,71.27,1008.21,0,0,0,302.82 °NW,0
1/2/2025 05:00 AM,26.87,28.75,71.43,1008.36,0,0,0,284.15 °W,0
1/2/2025 06:00 AM,26.76,28.63,72.33,1008.51,0,153.08,0,294.2 °NW,0
1/2/2025 07:00 AM,27.25,29.33,70.45,1009.26,0,4193.18,0,277.12 °W,0
1/2/2025 08:00 AM,27.98,30.53,69.24,1009.72,0,13951.32,0,214.77 °SW,0.09
1/2/2025 09:00 AM,29.19,32.44,66.19,1009.86,0,28096.05,0.07,274.28 °W,0.2
1/2/2025 10:00 AM,32.02,36.7,58.64,1009.79,0,52215.46,0.78,236.38 °SW,0.31
1/2/2025 11:00 AM,33.72,38.76,52.91,1009.15,0,54612.5,0.97,222.52 °SW,0.7
1/2/2025 12:00 PM,33.88,38.91,52.3,1008.27,0,52120.01,0.83,240.97 °SW,0.56
1/2/2025 01:00 PM,33.83,38.71,52.03,1007.24,0,52570.43,0.92,193.9 °S,0.42
1/2/2025 02:00 PM,34.14,39.3,51.7,1006.39,0,50101.46,0.7,252.57 °W,0.26
1/2/2025 03:00 PM,33.33,38.48,54.77,1006.24,0,34611.69,0.2,218.93 °SW,0.1
1/2/2025 04:00 PM,33.11,38.6,56.65,1006.33,0,20099.39,0,270.85 °W,0.01
1/2/2025 05:00 PM,31.52,36.8,62.92,1006.89,0,3428.01,0,354.98 °N,0
1/2/2025 06:00 PM,30.15,34.85,67.75,1007.59,0,10.35,0,356.48 °N,0
1/2/2025 07:00 PM,29.24,33.71,72.36,1008.35,0,0,0,291.98 °W,0
1/2/2025 08:00 PM,27.82,31.27,77.27,1009.15,0,0,0,181.22 °S,0.01
1/2/2025 09:00 PM,27.52,30.73,78.45,1009.79,0,0,0,202.08 °S,0
1/2/2025 10:00 PM,27.4,30.55,79.2,1009.54,0,0,0,1.07 °N,0
1/2/2025 11:00 PM,27.18,30.09,79.57,1009.4,0,0,0,73.1 °E,0
1/3/2025 12:00 AM,26.97,29.65,79.64,1009.1,0,0,0,202.6 °SW,0
1/3/2025 01:00 AM,27.05,29.76,79.12,1008.72,0,0,0,252.28 °W,0
1/3/2025 02:00 AM,27.09,29.82,78.8,1008.08,0,0,0,225.57 °SW,0
1/3/2025 03:00 AM,27.11,29.76,77.86,1007.88,0,0,0,278.02 °W,0
1/3/2025 04:00 AM,27,29.51,77.59,1007.87,0,0,0,321.44 °NW,0
1/3/2025 05:00 AM,27.19,29.89,77.26,1008.19,0,0,0,303.55 °NW,0
1/3/2025 06:00 AM,27.11,29.66,76.67,1008.57,0,139.04,0,236.2 °SW,0
1/3/2025 07:00 AM,27.23,29.84,76.05,1009.03,0,3784,0,268.05 °W,0
1/3/2025 08:00 AM,27.88,30.93,73.87,1009.81,0,8197.67,0,265.72 °W,0
1/3/2025 09:00 AM,28.34,31.67,72.15,1009.95,0,16110.51,0,272.02 °W,0.01
1/3/2025 10:00 AM,29.86,34.34,68.48,1009.93,0,32130.07,0,318.46 °NW,0
1/3/2025 11:00 AM,32.09,37.11,59.37,1009.48,0,42398.12,0.07,240.88 °SW,0
1/3/2025 12:00 PM,31.69,37.04,62.34,1008.62,0,47154.64,0.48,230.62 °SW,0.31
1/3/2025 01:00 PM,31.87,37.79,63.37,1007.48,0,53722.69,0.95,198.53 °S,0.81
1/3/2025 02:00 PM,33.16,39.03,57.52,1006.3,0,54108.78,0.95,181.65 °S,0.38
1/3/2025 03:00 PM,31.55,36.9,63.09,1006.17,0,30048.18,0.05,210.55 °SW,0.39
1/3/2025 04:00 PM,31.18,36.4,64.32,1006.62,0,20783.92,0,244.05 °SW,0.11
1/3/2025 05:00 PM,30.42,35.4,67.45,1007.12,0,5549.01,0,208.03 °SW,0.05
1/3/2025 06:00 PM,29.49,34.15,71.47,1007.7,0,41.54,0,72.85 °E,0.02
1/3/2025 07:00 PM,28.37,32.31,75.74,1008.23,0,0,0,55.13 °NE,0
1/3/2025 08:00 PM,27.98,31.62,77.03,1008.99,0,0,0,3.08 °N,0
1/3/2025 09:00 PM,27.57,30.6,76.29,1009.2,0,0,0,187.6 °S,0
1/3/2025 10:00 PM,27.5,30.26,74.73,1009.36,0,0,0,215.36 °SW,0
1/3/2025 11:00 PM,27.68,30.22,71.39,1009.42,0,0,0,184.22 °S,0
1/4/2025 12:00 AM,27.63,30.38,73.46,1009.56,0,0,0,181.88 °S,0.07
1/4/2025 01:00 AM,27.41,30.01,74.25,1008.91,0,0,0,235.42 °SW,0.03
1/4/2025 02:00 AM,27.04,29.39,75.44,1007.95,0,0,0,268.2 °W,0
1/4/2025 03:00 AM,26.83,28.97,75.14,1007.65,0,0,0,318.18 °NW,0
1/4/2025 04:00 AM,26.96,29.08,73.46,1008.01,0,0,0,294.03 °NW,0
1/4/2025 05:00 AM,26.88,28.93,73.63,1008.32,0,0,0,222.31 °SW,0
1/4/2025 06:00 AM,26.97,29.05,72.94,1008.63,0,151.92,0,220.75 °SW,0
1/4/2025 07:00 AM,27.59,30.01,71.07,1008.87,0,4897.12,0,321.58 °NW,0.01
1/4/2025 08:00 AM,28.06,30.8,70.12,1009.44,0,11304.4,0,252.52 °W,0.02
1/4/2025 09:00 AM,28.83,32.23,69.27,1009.63,0,24034.85,0,208.87 °SW,0.32
1/4/2025 10:00 AM,29.74,33.16,64.14,1009.54,0,27609.38,0,251.33 °W,0.76
1/4/2025 11:00 AM,30.55,34.13,60.87,1009.34,0,41053.36,0.23,261.2 °W,0.64
1/4/2025 12:00 PM,31,34.33,57.85,1008.61,0,47258.22,0.58,231.2 °SW,0.58
1/4/2025 01:00 PM,32.28,36.05,54.38,1007.77,0,53569.07,0.88,230.03 °SW,0.77
1/4/2025 02:00 PM,31.94,35.49,54.85,1006.95,0,41110.86,0.1,274.18 °W,0.37
1/4/2025 03:00 PM,32.68,36.69,53.62,1006.54,0,47936.68,0.28,242.23 °SW,0.79
1/4/2025 04:00 PM,32.3,35.95,53.84,1006.65,0,25766.46,0,261.7 °W,0.1
1/4/2025 05:00 PM,30.47,33.55,59.17,1006.92,0,4101.86,0,269.44 °W,0.01
1/4/2025 06:00 PM,29.04,31.61,63.14,1007.75,0,37.72,0,76.52 °E,0
1/4/2025 07:00 PM,28.8,31.37,64.48,1008.77,0,0,0,229.03 °SW,0
1/4/2025 08:00 PM,28.58,30.73,62.82,1009.77,0,0,0,297.48 °NW,0.02
1/4/2025 09:00 PM,28.46,30.31,61.23,1010.21,0,0,0,232.03 °SW,0.35
1/4/2025 10:00 PM,28.25,29.84,60.1,1009.78,0,0,0,191.37 °S,1.18
1/4/2025 11:00 PM,27.9,29.16,58.61,1009.7,0,0,0,--,1.21
1/5/2025 12:00 AM,27.47,28.63,59.28,1009.48,0,0,0,120.55 °SE,1.01
1/5/2025 01:00 AM,26.95,28.17,62.15,1009.08,0,0,0,184.12 °S,1.37
1/5/2025 02:00 AM,26.99,28.11,60.56,1008.31,0,0,0,171.92 °S,1.89
1/5/2025 03:00 AM,27.05,28.22,61.08,1008.03,0,0,0,215.27 °SW,2.63
1/5/2025 04:00 AM,26.75,27.84,61.06,1008.22,0,0,0,196.05 °S,2.59
1/5/2025 05:00 AM,26.51,27.5,60.24,1008.43,0,0,0,196.62 °S,2.26
1/5/2025 06:00 AM,26.34,27.37,61.47,1009.22,0,127.36,0,197.77 °S,2.04
1/5/2025 07:00 AM,26.36,27.39,61.4,1009.82,0,3936.64,0,220.35 °SW,1.76
1/5/2025 08:00 AM,26.71,27.79,60.97,1010.59,0,14115.68,0,225.47 °SW,1.77
1/5/2025 09:00 AM,27.73,28.83,57.75,1011.05,0,26086.57,0,231.63 °SW,2.21
1/5/2025 10:00 AM,28.3,29.56,57.15,1011.02,0,37846.43,0.3,214.85 °SW,1.6
1/5/2025 11:00 AM,29.79,31.3,53.55,1010.36,0,50191.78,0.8,190.25 °S,2.02
1/5/2025 12:00 PM,30.81,32.68,51.86,1010.01,0,50671.79,0.7,235.97 °SW,0.93
1/5/2025 01:00 PM,31.8,33.86,49.35,1008.9,0,54340.54,1.02,206.05 °SW,1.34
1/5/2025 02:00 PM,31.14,33.04,50.93,1008.27,0,49093.79,0.42,172.93 °S,0.86
1/5/2025 03:00 PM,31.38,33.46,50.88,1007.77,0,44942.28,0.18,227.62 °SW,0.49
1/5/2025 04:00 PM,30.24,32.06,53.7,1008.19,0,16858.01,0,264.5 °W,0.18
1/5/2025 05:00 PM,28.96,30.75,58.6,1008.89,0,2030.58,0,241.22 °SW,0.01
1/5/2025 06:00 PM,28.34,30.03,60.58,1009.46,0,24.92,0,234.18 °SW,0
1/5/2025 07:00 PM,27.43,29,64.01,1010.23,0,0,0,299.32 °NW,0
1/5/2025 08:00 PM,27.46,28.97,63.05,1010.74,0,0,0,297.35 °NW,0
1/5/2025 09:00 PM,27.02,28.48,64.9,1011.16,0,0,0,340.32 °N,0
1/5/2025 10:00 PM,26.68,28.12,66.97,1011.4,0,0,0,311.35 °NW,0
1/5/2025 11:00 PM,25.73,26.95,71.36,1011.14,0,0,0,335.3 °NW,0
1/6/2025 12:00 AM,25.42,26.54,72.6,1010.71,0,0,0,92.57 °E,0
1/6/2025 01:00 AM,25.26,26.31,72.46,1010.12,0,0,0,9.02 °N,0
1/6/2025 02:00 AM,25.28,26.33,71.52,1009.46,0,0,0,87.73 °E,0
1/6/2025 03:00 AM,25,25.97,71.86,1009.3,0,0,0,349.75 °N,0
1/6/2025 04:00 AM,25.03,26.02,70.33,1009.44,0,0,0,266.83 °W,0
1/6/2025 05:00 AM,25.11,26.11,69.75,1009.64,0,0,0,204.5 °SW,0
1/6/2025 06:00 AM,25.31,26.36,68.91,1009.81,0,210.66,0,174.44 °S,0
1/6/2025 07:00 AM,25.96,27.14,67.18,1010.64,0,2734.76,0,175.77 °S,0
