recordedAt,temperature,heatIndex,humidity,airPressure,precipitation,light,uvIndex,windDirection,windSpeed
12/31/2025 04:00 PM,31.86,40.24,70.69,1005.66,0,5802.97,0,151.93 °SE,2.16
12/31/2025 05:00 PM,30.28,36.4,72.43,1002.03,0,1002.74,0,181.13 °S,2.64
12/31/2025 06:00 PM,28.73,33.13,75.58,999.93,0,0.06,0,223.52 °SW,3.41
12/31/2025 07:00 PM,28.15,32.13,77.9,1000.82,0,0,0,230.1 °SW,3.31
12/31/2025 08:00 PM,27.99,32,79.47,1002.8,0,0,0,160.98 °S,1.03
12/31/2025 09:00 PM,27.98,32.06,80.11,1004,0,0,0,159.6 °S,1.09
12/31/2025 10:00 PM,28.29,32.9,80.39,1005.85,0,0,0,105.88 °E,1.14
12/31/2025 11:00 PM,28.16,32.5,79.97,1005.58,0,0,0,99.63 °E,2.23
1/1/2026 12:00 AM,28.02,32.15,79.96,1005.77,0,0,0,143.87 °SE,1.88
1/1/2026 01:00 AM,28.26,32.69,79.63,1006.5,0,0,0,156.18 °SE,0.4
1/1/2026 02:00 AM,27.53,30.97,79.9,1004.32,0,0,0,190.5 °S,1.03
1/1/2026 03:00 AM,26.88,29.56,80.89,1003.2,0,0,0,205.15 °SW,1.34
1/1/2026 04:00 AM,26.91,29.7,81.72,1004.51,0,0,0,255.9 °W,0.58
1/1/2026 05:00 AM,26.95,29.85,82.32,1005.17,0,0.04,0,134.5 °SE,0.65
1/1/2026 06:00 AM,26.61,29.14,83.16,1004.98,0,750.54,0,102.62 °E,1.03
1/1/2026 07:00 AM,26.77,29.54,83.39,1006.47,0,4839.04,0,42.42 °NE,1.28
1/1/2026 08:00 AM,28.12,32.84,82.67,1010.75,0,11139.36,0,110.52 °E,1.2
1/1/2026 09:00 AM,28.79,34.45,81.32,1011.92,0,13156.6,0,98.7 °E,1.72
1/1/2026 10:00 AM,28.92,34.52,79.98,1011.37,0,16016.86,0,67.32 °NE,2.72
1/1/2026 11:00 AM,30.13,37.67,78.51,1013.84,0,26127.44,0,90.78 °E,2.04
1/1/2026 12:00 PM,31.24,40.41,76.46,1014.63,0,38824.8,0,97.43 °E,2.16
1/1/2026 01:00 PM,31.11,39.46,74.8,1011.54,0,30087.07,0,118.7 °SE,2.93
1/1/2026 02:00 PM,31.17,39.34,73.99,1010.17,0,29542.57,0,83.34 °E,2.58
1/1/2026 03:00 PM,30.97,38.67,73.69,1008.67,0,13039.78,0,131.7 °SE,2.06
1/1/2026 04:00 PM,30.12,36.4,74.1,1006.18,0,5176.86,0,284.67 °W,2.39
1/1/2026 05:00 PM,29.55,35.28,75.75,1005.6,0,691.5,0,260.53 °W,1.25
1/1/2026 06:00 PM,28.41,32.77,77.89,1003.44,0,0.04,0,219.62 °SW,2.87
1/1/2026 07:00 PM,28.04,32.21,80.05,1004.47,0,0,0,227.15 °SW,1.85
1/1/2026 08:00 PM,27.79,31.82,81.57,1005.55,0,0,0,221.85 °SW,1.02
1/1/2026 09:00 PM,27.9,32.17,82.07,1006.85,0,0,0,97.05 °E,1.77
1/1/2026 10:00 PM,27.54,31.17,81.52,1006.48,0,0,0,66.05 °NE,2.58
1/1/2026 11:00 PM,26.66,29.11,81.47,1004.85,0.33,0,0,110.28 °E,2.26
1/2/2026 12:00 AM,26.21,28.2,82.27,1005.06,1.98,0,0,124.43 °SE,1.89
1/2/2026 01:00 AM,25.57,26.91,83.26,1004.42,0.88,0,0,86.07 °E,2.08
1/2/2026 02:00 AM,25.32,26.4,84.25,1005.01,1.32,0,0,139.98 °SE,1.23
1/2/2026 03:00 AM,25.1,25.97,85.06,1005.31,0.44,0,0,131.26 °SE,1.07
1/2/2026 04:00 AM,24.79,25.37,85.7,1005.31,3.52,0,0,79.45 °E,2.18
1/2/2026 05:00 AM,24.4,24.6,86.37,1005.32,11.77,0,0,54.15 °NE,3.04
