recordedAt,temperature,heatIndex,humidity,airPressure,precipitation,light,uvIndex,windDirection,windSpeed
12/31/2025 04:00 PM,30.38,37.21,74.44,1004.51,0,3712.69,0.02,265.45 °W,0
12/31/2025 05:00 PM,29.03,34.39,78.02,1004.97,0,654.82,0,265.46 °W,0
12/31/2025 06:00 PM,27.82,31.95,82.1,1005.29,0,0.07,0,265.47 °W,0
12/31/2025 07:00 PM,26.92,29.98,84.61,1006.2,0,0,0,265.56 °W,0
12/31/2025 08:00 PM,26.7,29.58,86.1,1007.58,0,0,0,265.56 °W,0
12/31/2025 09:00 PM,26.72,29.63,86.24,1008.03,0,0,0,265.52 °W,0
12/31/2025 10:00 PM,26.52,29.13,86.1,1007.93,0,0,0,265.27 °W,0.05
12/31/2025 11:00 PM,26.18,28.33,86.76,1007.8,0,0.29,0,265.26 °W,0
1/1/2026 12:00 AM,26.31,28.62,86.03,1008.04,0,0,0,265.26 °W,0
1/1/2026 01:00 AM,26.14,28.21,85.91,1007.46,0,0,0,265.26 °W,0
1/1/2026 02:00 AM,25.74,27.3,85.28,1006.89,0,0,0,265.26 °W,0
1/1/2026 03:00 AM,25.47,26.72,86.4,1006.77,0,0,0,265.25 °W,0
1/1/2026 04:00 AM,25.16,26.03,88.9,1006.98,0,0,0,265.27 °W,0
1/1/2026 05:00 AM,24.8,25.12,92.07,1006.98,0,0,0,265.33 °W,0
1/1/2026 06:00 AM,24.78,25.11,91.35,1007.87,0,507.54,0,265.34 °W,0
1/1/2026 07:00 AM,25.12,25.94,89.07,1009.15,0,2716.44,0,265.34 °W,0
1/1/2026 08:00 AM,25.91,27.7,86.92,1010.5,0,6305.68,0.08,265.34 °W,0
1/1/2026 09:00 AM,26.92,29.94,84.21,1010.94,0,10325.83,1.48,265.34 °W,0
1/1/2026 10:00 AM,27.27,30.71,83.19,1010.53,0,13849.32,3.2,265.34 °W,0
1/1/2026 11:00 AM,28.59,33.68,80.32,1010.68,0,25017.61,8.4,265.45 °W,0
1/1/2026 12:00 PM,30,36.75,76.68,1009.81,0,27412.83,6.36,265.66 °W,0.01
1/1/2026 01:00 PM,30.52,37.81,75.13,1008.3,0,29348.19,5,265.53 °W,0.19
1/1/2026 02:00 PM,29.97,36.49,75.96,1007.03,0,19611.78,5.8,265.82 °W,0.19
1/1/2026 03:00 PM,28.86,34.01,78.35,1006.49,0,10525.44,1.75,266.17 °W,0
1/1/2026 04:00 PM,28.33,33.15,81.24,1006.89,0,4322.85,0,266.22 °W,0
1/1/2026 05:00 PM,27.49,31.44,84.51,1007.15,0,655.01,0,266.22 °W,0
1/1/2026 06:00 PM,27.02,30.36,85.77,1007.88,0,0.07,0,266.22 °W,0
1/1/2026 07:00 PM,26.91,30.17,86.78,1008.85,0,0,0,266.22 °W,0
1/1/2026 08:00 PM,26.68,29.67,87.91,1009.44,0,0,0,266.22 °W,0
