recordedAt,temperature,heatIndex,humidity,airPressure,precipitation,light,uvIndex,windDirection,windSpeed
2/10/2025 02:00 PM,21.25,22.05,41.49,745.53,1.1,9817.33,0,71.46 °E,0.74
2/10/2025 03:00 PM,27.53,28.65,58.62,994.28,0,20350.57,0.75,165.25 °S,1.06
2/10/2025 04:00 PM,26.73,27.81,61.07,994.45,0,8523.6,0.75,209.02 °SW,2.73
2/10/2025 05:00 PM,26,27.07,64.01,994.95,0,1929.98,0.82,194 °S,1.63
2/10/2025 06:00 PM,25.23,26.25,68.21,995.82,0,9.76,0.1,130.22 °SE,0.52
2/10/2025 07:00 PM,24.91,25.87,69.86,996.52,0,0,0.23,170.5 °S,1.32
2/10/2025 08:00 PM,24.32,25.11,73.2,997.15,0.11,0,0.35,195.77 °S,2.3
2/10/2025 09:00 PM,23.56,23.99,77.61,997.86,0.44,0,0.24,159.33 °S,0.89
2/10/2025 10:00 PM,23.51,23.88,78.13,998.26,0.11,0,0.43,229.9 °SW,1.82
2/10/2025 11:00 PM,23.43,23.79,78.21,998.23,0.11,0,0.3,132.6 °SE,0.42
2/11/2025 12:00 AM,23.62,24.11,76.97,997.97,0,0,0.4,176.52 °S,0.2
2/11/2025 01:00 AM,23.86,24.51,75.11,997.54,0,0,0.17,172.12 °S,0.32
2/11/2025 02:00 AM,23.74,24.37,75.14,996.81,0,0,0.42,142.72 °SE,0.09
2/11/2025 03:00 AM,23.91,24.62,74.21,996.59,0,0,0.75,103.78 °E,0.26
2/11/2025 04:00 AM,23.17,23.37,79.36,996.03,0.44,0,0.74,179.57 °S,0.75
2/11/2025 05:00 AM,22.97,22.96,81.23,996.16,0.11,0,0.29,112.69 °SE,0.31
2/11/2025 06:00 AM,23.55,23.93,78.15,996.92,0,716.31,0.58,127.31 °SE,0.6
2/11/2025 07:00 AM,24.25,24.96,75.07,997.54,0,4835.54,0.63,153.4 °SE,0.66
2/11/2025 08:00 AM,25.03,26.01,72.95,998.21,0,11766.64,0.43,143.63 °SE,1.12
2/11/2025 09:00 AM,26.43,27.91,69.44,998.9,0,30109.21,1.51,148.95 °SE,0.78
2/11/2025 10:00 AM,28.49,30.65,63.27,998.41,0,40825.8,1.4,171.88 °S,1.72
2/11/2025 11:00 AM,28.67,30.9,62.87,998.01,0.33,37746.03,0.85,169.65 °S,1.68
2/11/2025 12:00 PM,30.71,33.88,58.39,997.61,0,48962.47,1.1,155.85 °SE,1.25
2/11/2025 01:00 PM,31.47,34.77,55.74,996.09,0,39966.76,1.23,198.08 °S,1.54
2/11/2025 02:00 PM,29.64,32.29,60.72,994.73,0,12818.47,0.73,155.45 °SE,0.73
2/11/2025 03:00 PM,28.5,31,65.77,994.94,0.11,13224.47,0.43,165.69 °S,1.06
2/11/2025 04:00 PM,24.14,25.95,63,884.4,0.22,4539.72,0.44,141.37 °SE,0.3
2/11/2025 05:00 PM,1.76,1.87,4.78,66.33,0.77,797.86,2.07,113.78 °SE,0.42
2/11/2025 06:00 PM,0,0,0,0,0.44,5.64,2.43,138.03 °SE,0.6
2/11/2025 07:00 PM,0,0,0,0,0.22,0,2.1,159.74 °S,1.21
2/11/2025 08:00 PM,0,0,0,0,0,0,2.93,104.55 °E,0.2
2/11/2025 09:00 PM,0,0,0,0,0,0,2.04,154.78 °SE,0.4
2/11/2025 10:00 PM,0,0,0,0,7202.3,1011.34,2.19,21.78 °N,57.11
2/11/2025 11:00 PM,0,0,0,0,57618.4,0,0.08,-472.71 °N,472.17
2/12/2025 12:00 AM,0,0,0,0,100832.2,910.21,0.12,-709.82 °N,716.6
2/12/2025 01:00 AM,0,0,0,0,28809.2,895.29,1.48,-167.03 °N,201.58
2/12/2025 02:00 AM,0,0,0,0,7202.3,1820.42,1.6,-29.52 °N,51.7
2/12/2025 03:00 AM,0,0,0,0,57618.4,0,0.65,-412.7 °N,409.65
2/12/2025 04:00 AM,0,0,0,0,129641.4,0,0.4,-1123.52 °N,921.07
2/12/2025 05:00 AM,0,0,0,0,72023,0,0,-433.4 °N,590.61
