recordedAt,temperature,heatIndex,humidity,airPressure,precipitation,light,uvIndex,windDirection,windSpeed
12/31/2025 04:00 PM,29.59,33.31,66.45,1008.25,0,4851.24,1.1,11.6 °N,1.56
12/31/2025 05:00 PM,29.25,33.02,68.61,1008.78,0,577.36,0,10.65 °N,1.04
12/31/2025 06:00 PM,28.36,32.2,75.37,1009.18,0,0.04,0,202.11 °S,3.61
12/31/2025 07:00 PM,27.71,30.94,76.72,1009.97,0,0,0,232.41 °SW,3.98
12/31/2025 08:00 PM,27.37,30.23,76.93,1010.62,0,0,0,222.4 °SW,3.37
12/31/2025 09:00 PM,26.67,28.96,79.08,1010.77,0,0,0,198.72 °S,2.01
12/31/2025 10:00 PM,26.5,28.6,78.92,1010.69,0,0,0,192.18 °S,1.85
12/31/2025 11:00 PM,26.56,28.67,78.37,1010.58,0,0,0,195.14 °S,1.87
1/1/2026 12:00 AM,26.43,28.45,79.07,1010.45,0,0,0,159.58 °S,1.96
1/1/2026 01:00 AM,26.64,28.8,77.93,1010.03,0,0,0,119.89 °SE,2.57
1/1/2026 02:00 AM,25.91,27.52,81.08,1009.65,0,0,0,120.54 °SE,1.14
1/1/2026 03:00 AM,25.92,27.59,82.34,1009.44,0,0,0,120.54 °SE,0.63
1/1/2026 04:00 AM,25.72,27.23,85.14,1009.57,0,0,0,120.52 °SE,0.51
1/1/2026 05:00 AM,25.41,26.6,86.94,1009.88,0,0,0,247.35 °SW,1.2
1/1/2026 06:00 AM,25.61,27.01,85.48,1010.57,0,639.69,0,262.27 °W,1.41
1/1/2026 07:00 AM,26.41,28.47,79.67,1011.33,0,6432.19,1.3,291.34 °W,1.66
1/1/2026 08:00 AM,27.6,30.56,75.69,1012.25,0,19609.39,4.75,262.08 °W,2.65
1/1/2026 09:00 AM,27.27,30.08,77.55,1012.56,0,15230.65,4.6,277.06 °W,2.84
1/1/2026 10:00 AM,28.04,31.34,74.26,1012.32,0,34736.09,10.72,248.74 °W,3.22
1/1/2026 11:00 AM,28.6,32.28,72.37,1011.8,0,42951.61,11,271.1 °W,3.38
1/1/2026 12:00 PM,28.79,32.52,71.41,1010.93,0,36935.71,11,187.19 °S,3.35
1/1/2026 01:00 PM,28.9,32.56,70.3,1010.1,0,27930.74,10.33,122.69 °SE,3.18
1/1/2026 02:00 PM,28.92,32.89,71.81,1009.44,0,21172.04,7.23,87.03 °E,2.89
1/1/2026 03:00 PM,29.06,33.25,71.98,1009.51,0,13979.31,4.13,106.38 °E,3.13
