recordedAt,temperature,heatIndex,humidity,airPressure,precipitation,light,uvIndex,windDirection,windSpeed
12/31/2025 04:00 PM,29.45,29.15,40.81,1006.05,0,2337.72,1,351.27 °N,0
12/31/2025 05:00 PM,28.21,28.36,46.41,1006.67,0,155.08,1,351.39 °N,0
12/31/2025 06:00 PM,28.11,28.1,44.6,1007.01,0,0,1,165.69 °S,2.38
12/31/2025 07:00 PM,27.34,27.5,46.25,1007.94,0,0,1,4.74 °N,0.54
12/31/2025 08:00 PM,26.66,26.99,47.61,1008.55,0,0,1,11.99 °N,2.12
12/31/2025 09:00 PM,26.25,26.69,48.4,1008.63,0,0,1,13.57 °N,0.86
12/31/2025 10:00 PM,25.85,26.42,49.15,1008.61,0,0,1,14.81 °N,0.14
12/31/2025 11:00 PM,25.82,26.37,48.28,1008.45,0,0,1,16.07 °N,0.32
1/1/2026 12:00 AM,25.65,26.27,48.65,1008.3,0,0,1,16.24 °N,0.01
1/1/2026 01:00 AM,25.58,26.22,48.86,1007.88,0,0,1,16.24 °N,0.14
1/1/2026 02:00 AM,25.57,26.22,48.91,1007.51,0,0,1,16.15 °N,0.16
1/1/2026 03:00 AM,25.4,26.14,50.18,1007.31,0,0,1,16.08 °N,0.01
1/1/2026 04:00 AM,25.12,26,52.54,1007.39,0,0,1,16.08 °N,0
1/1/2026 05:00 AM,25.34,26.14,51.6,1007.61,0,0,1,16.03 °N,0.1
1/1/2026 06:00 AM,25.8,26.41,49.91,1008.06,0,730.78,1,15.98 °N,0.05
1/1/2026 07:00 AM,26.54,26.82,46.04,1008.64,0,8320.59,1,49.41 °NE,1.71
1/1/2026 08:00 AM,27.33,27.3,43.22,1009.65,0,14423.42,1,113.76 °SE,5.41
1/1/2026 09:00 AM,27.74,27.61,42.54,1009.98,0,22080.61,1,208.85 °SW,3.46
1/1/2026 10:00 AM,28.99,28.55,39.38,1009.71,0,34957.01,1,11.03 °N,3.34
1/1/2026 11:00 AM,29.67,29.05,37.32,1009.26,0,43615.25,1,91.99 °E,5.05
1/1/2026 12:00 PM,29.75,29.18,37.81,1008.44,0,31274.26,1,5.69 °N,1.66
1/1/2026 01:00 PM,30.49,29.82,36.24,1007.63,0,42961.04,1,258.19 °W,0.89
1/1/2026 02:00 PM,30.5,29.92,37.02,1006.99,0,26474.49,1,357.2 °N,0.47
1/1/2026 03:00 PM,30.36,29.84,37.77,1007.19,0,17083.88,1,357.34 °N,0
1/1/2026 04:00 PM,29.68,29.28,39.54,1007.47,0,5941.13,1,357.45 °N,0
1/1/2026 05:00 PM,28.55,28.5,43.91,1007.95,0,1131.53,1,357.45 °N,0
1/1/2026 06:00 PM,27.48,27.7,47.43,1008.48,0,0.01,1,357.47 °N,0
1/1/2026 07:00 PM,27.01,27.36,48.87,1009.07,0,0,1,357.48 °N,0
1/1/2026 08:00 PM,26.84,27.23,49.43,1009.82,0,0,1,310.89 °NW,1.22
1/1/2026 09:00 PM,25.85,26.51,51.7,1010.35,0,0,1,99.18 °E,7.56
1/1/2026 10:00 PM,24.43,25.57,57.38,1010.8,0,0,1,328.03 °NW,0.36
1/1/2026 11:00 PM,24,25.3,58.42,1010.65,0,0,1,327.76 °NW,0.06
1/2/2026 12:00 AM,23.86,25.21,58.73,1010.47,0,0,1,325.9 °NW,0.01
1/2/2026 01:00 AM,23.65,25.07,59.76,1010.24,0,0,1,325.9 °NW,0
1/2/2026 02:00 AM,23.39,24.92,60.38,1009.62,0,0,1,325.9 °NW,0
1/2/2026 03:00 AM,23.55,24.98,60.91,1009.23,0,0,1,325.9 °NW,0
1/2/2026 04:00 AM,23.6,25.02,60.43,1009.37,0,0,1,325.9 °NW,0
1/2/2026 05:00 AM,23.93,25.29,56.72,1009.65,0,0,1,326.23 °NW,0.01
1/2/2026 06:00 AM,23.91,25.27,57.25,1010.38,0,437.31,1,326.23 °NW,0
1/2/2026 07:00 AM,24.99,25.89,50.55,1010.9,0,6809.56,1,258.72 °W,0.34
1/2/2026 08:00 AM,27.25,27.27,43.84,1011.41,0,18526.89,1,230.68 °SW,0.4
1/2/2026 09:00 AM,27.89,27.73,42.19,1011.69,0,35771.87,1,329.21 °NW,1.9
1/2/2026 10:00 AM,28.33,27.9,38.91,1011.59,0,47227.96,1,243.23 °SW,7.52
1/2/2026 11:00 AM,29.09,28.44,36.96,1010.9,0,48397.36,1,153.58 °SE,7.63
