recordedAt,temperature,heatIndex,humidity,airPressure,precipitation,light,uvIndex,windDirection,windSpeed
12/31/2024 04:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
12/31/2024 05:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
12/31/2024 08:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
12/31/2024 09:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
12/31/2024 10:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
12/31/2024 11:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/1/2025 12:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/1/2025 01:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/1/2025 02:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/1/2025 03:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/1/2025 04:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/1/2025 05:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/1/2025 06:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/1/2025 07:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/1/2025 08:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/1/2025 09:00 AM,0,-8.78,0,0,0,0,0.2,0 °N,0
1/1/2025 10:00 AM,0,-8.78,0,0,0,0,0.85,0 °N,0
1/1/2025 11:00 AM,0,-8.78,0,0,0,0,0.91,0 °N,0
1/1/2025 12:00 PM,0,-8.78,0,0,0,0,1.21,0 °N,0
1/1/2025 01:00 PM,0,-8.78,0,0,0,0,0.65,0 °N,0
1/1/2025 02:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/1/2025 03:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/1/2025 04:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/1/2025 06:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/1/2025 07:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/1/2025 08:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/1/2025 09:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/1/2025 10:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/1/2025 11:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/2/2025 12:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/2/2025 01:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/2/2025 02:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/2/2025 03:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/2/2025 04:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/2/2025 05:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/2/2025 06:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/2/2025 07:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/2/2025 08:00 AM,0,-8.78,0,0,0,0,0.02,0 °N,0
1/2/2025 09:00 AM,0,-8.78,0,0,0,0,0.23,0 °N,0
1/2/2025 10:00 AM,0,-8.78,0,0,0,0,0.93,0 °N,0
1/2/2025 11:00 AM,0,-8.78,0,0,0,0,0.97,0 °N,0
1/2/2025 12:00 PM,0,-8.78,0,0,0,0,0.95,0 °N,0
1/2/2025 01:00 PM,0,-8.78,0,0,0,0,0.61,0 °N,0
1/2/2025 02:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/2/2025 03:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/2/2025 04:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/2/2025 06:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/2/2025 07:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/2/2025 08:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/2/2025 09:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/2/2025 10:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/2/2025 11:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/3/2025 12:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/3/2025 01:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/3/2025 02:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/3/2025 03:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/3/2025 04:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/3/2025 05:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/3/2025 06:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/3/2025 07:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/3/2025 08:00 AM,0,-8.78,0,0,0,0,0.03,0 °N,0
1/3/2025 09:00 AM,0,-8.78,0,0,0,0,0.78,0 °N,0
1/3/2025 10:00 AM,0,-8.78,0,0,0,0,0.27,0 °N,0
1/3/2025 11:00 AM,0,-8.78,0,0,0,0,0.75,0 °N,0
1/3/2025 12:00 PM,0,-8.78,0,0,0,0,1,0 °N,0
1/3/2025 01:00 PM,0,-8.78,0,0,0,0,0.51,0 °N,0
1/3/2025 02:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/3/2025 03:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/3/2025 04:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/3/2025 05:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/3/2025 06:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/3/2025 07:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/3/2025 08:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/3/2025 09:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/3/2025 10:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/3/2025 11:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/4/2025 12:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/4/2025 01:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/4/2025 02:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/4/2025 03:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/4/2025 04:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/4/2025 05:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/4/2025 06:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/4/2025 07:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/4/2025 08:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/4/2025 09:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/4/2025 10:00 AM,0,-8.78,0,0,0,0,0.51,0 °N,0
1/4/2025 11:00 AM,0,-8.78,0,0,0,0,0.77,0 °N,0
1/4/2025 12:00 PM,0,-8.78,0,0,0,0,0.57,0 °N,0
1/4/2025 01:00 PM,0,-8.78,0,0,0,0,0.59,0 °N,0
1/4/2025 02:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/4/2025 03:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/4/2025 04:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/4/2025 05:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/4/2025 06:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/4/2025 07:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/4/2025 08:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/4/2025 09:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/4/2025 10:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/4/2025 11:00 PM,0,-8.78,0,0,0,0,0,0 °N,0
1/5/2025 12:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/5/2025 01:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/5/2025 02:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/5/2025 03:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/5/2025 04:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/5/2025 05:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/5/2025 06:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/5/2025 07:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/5/2025 08:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
1/5/2025 09:00 AM,0,-8.78,0,0,0,0,0,0 °N,0
