recordedAt,temperature,heatIndex,humidity,airPressure,precipitation,light,uvIndex,windDirection,windSpeed
12/31/2025 04:00 PM,28.13,33.88,89.72,983.44,0,4912.08,0,201.92 °S,0
12/31/2025 05:00 PM,25.27,26.19,100,984.03,0,898.13,0,188.58 °S,0
12/31/2025 06:00 PM,24.08,22.81,100,984.46,0,0.11,0,193.51 °S,0
12/31/2025 07:00 PM,23.74,21.96,100,985.2,0,0,0,187.65 °S,0
12/31/2025 08:00 PM,24.03,22.7,100,985.7,0,0,0,191.49 °S,0
12/31/2025 09:00 PM,23.34,20.98,100,985.88,0,0,0,202.39 °S,0
12/31/2025 10:00 PM,23.31,20.93,100,985.84,0,0,0,212.73 °SW,0
12/31/2025 11:00 PM,23.37,21.07,100,985.7,0,0,0,166.29 °S,0.03
1/1/2026 12:00 AM,23.58,21.55,100,985.57,0,0,0,165.55 °S,0.19
1/1/2026 01:00 AM,23.37,21.05,100,985.17,0,0,0,198.51 °S,0
1/1/2026 02:00 AM,23.14,20.53,100,984.92,0,0,0,229.03 °SW,0
1/1/2026 03:00 AM,22.84,19.87,100,984.75,0,0,0,203.22 °SW,0
1/1/2026 04:00 AM,22.35,18.85,100,985.01,0.22,0,0,196.49 °S,0
1/1/2026 05:00 AM,22.53,19.2,100,985.19,0,0.08,0,203.03 °SW,0
1/1/2026 06:00 AM,22.64,19.43,100,985.86,0,689.15,0,208.51 °SW,0
1/1/2026 07:00 AM,23.2,20.69,100,986.68,0,5033.26,0,212.8 °SW,0
1/1/2026 08:00 AM,24.17,23.04,100,987.54,0,7813.84,0,201.76 °S,0
1/1/2026 09:00 AM,24.88,25.01,100,987.68,0,12278.28,0,212.07 °SW,0
1/1/2026 10:00 AM,26.06,28.56,99.08,987.55,0,23766.44,0,230.34 °SW,0
1/1/2026 11:00 AM,27.99,33.6,89.87,986.87,0,36959.53,0,231.54 °SW,0
1/1/2026 12:00 PM,29.32,36.39,83.11,985.96,0.11,43812.86,0,231.87 °SW,0
1/1/2026 01:00 PM,29.06,35.79,84.08,985.12,0,34021.8,0,243.58 °SW,0.3
1/1/2026 02:00 PM,28.17,34.29,90.05,984.76,0,26186.86,0,245.68 °SW,0.25
1/1/2026 03:00 PM,28.05,34.18,91.66,984.9,0,16537.92,0,227.4 °SW,0
1/1/2026 04:00 PM,27.09,31.8,97.34,985.14,0,6505.72,0,230.1 °SW,0
1/1/2026 05:00 PM,25.77,27.71,100,985.66,0,1166.88,0,229.27 °SW,0
1/1/2026 06:00 PM,24.55,24.06,100,986.24,0.11,0.11,0,229.05 °SW,0
1/1/2026 07:00 PM,24.15,22.98,100,986.94,0,0,0,228.73 °SW,0
1/1/2026 08:00 PM,24.26,23.28,100,987.53,0,0,0,218.38 °SW,0
1/1/2026 09:00 PM,24.2,23.11,100,987.82,0,0,0,224.33 °SW,0
1/1/2026 10:00 PM,23.61,21.65,100,988.19,0.99,0,0,214.57 °SW,0
1/1/2026 11:00 PM,22.56,19.29,100,988.14,2.86,0,0,223.13 °SW,0.01
1/2/2026 12:00 AM,22.09,18.34,100,988.1,10.89,0,0,250.31 °W,0
1/2/2026 01:00 AM,21.89,17.97,100,987.72,12.98,0,0,218.69 °SW,0
1/2/2026 02:00 AM,21.58,17.42,100,987.42,7.48,0,0,219.71 °SW,0
