recordedAt,temperature,heatIndex,humidity,airPressure,precipitation,light,uvIndex,windDirection,windSpeed
1/5/2026 08:00 AM,24.15,25.29,66.67,1015.5,0,11570.08,3.71,254.98 °W,0.04
1/5/2026 09:00 AM,27.23,28.96,66.67,1015.45,0,15835.61,4.8,250.79 °W,0.06
1/5/2026 10:00 AM,28.06,30.34,66.67,1015.1,0,23086.01,8.26,249.42 °W,0.35
1/5/2026 11:00 AM,28.45,31.07,66.67,1014.61,0,26589.74,5.4,247.43 °SW,0.67
1/5/2026 12:00 PM,29.37,32.92,66.67,1014.06,0,34953.08,0,249.32 °W,0.86
1/5/2026 01:00 PM,30.6,35.67,66.67,1013.08,0,54046.09,0,243.31 °SW,1.78
1/5/2026 02:00 PM,30.66,35.8,66.67,1012.56,0,45435.41,0,212.42 °SW,1.97
1/5/2026 03:00 PM,29.37,32.91,66.67,1012.57,0,19226.54,5.66,269.94 °W,1.68
1/6/2026 02:00 PM,30.65,35.78,66.67,1012.29,0,22517.78,8.11,248.42 °W,0.44
1/6/2026 03:00 PM,29.59,33.37,66.67,1012.47,0,11400.46,1.89,252.91 °W,0.37
1/6/2026 04:00 PM,29.32,32.78,66.67,1012.65,0,6535,0,250.05 °W,0
1/7/2026 01:00 PM,30.74,36.02,66.67,1013.77,0,42616,0,261.92 °W,1.43
1/7/2026 02:00 PM,29.82,33.9,66.67,1013.17,0,22025.02,4.89,256.36 °W,1.44
1/7/2026 03:00 PM,29.6,33.39,66.67,1013.13,0,18373.41,5.31,230.45 °SW,1.23
1/7/2026 04:00 PM,28.44,31.1,66.67,1013.78,0,6729.29,1.09,256.57 °W,0.84
1/7/2026 05:00 PM,26.83,28.27,65.46,1014.53,0,934.42,0,254.06 °W,0.36
1/7/2026 06:00 PM,25.52,26.59,66.67,1015.03,0,0.13,0,253.67 °W,0.05
1/7/2026 07:00 PM,24.85,25.85,66.67,1015.41,0,0,0,254.31 °W,0.07
