recordedAt,temperature,heatIndex,humidity,airPressure,precipitation,light,uvIndex,windDirection,windSpeed
12/31/2025 04:00 PM,28.14,32.21,78.43,1007.01,0,5734.65,2.72,182.2 °S,6.95
12/31/2025 05:00 PM,28.18,32.37,78.86,1007.43,0,1012.56,0.63,182.21 °S,6.34
12/31/2025 06:00 PM,27.4,30.88,82.15,1007.87,0,0.08,0,182.21 °S,1.44
12/31/2025 07:00 PM,27.05,30.09,82.58,1008.66,0,0,0,182.21 °S,0.35
12/31/2025 08:00 PM,27.12,30.11,81.01,1009.14,0,0,0,182.21 °S,0.28
12/31/2025 09:00 PM,26.73,29.39,82.83,1009.17,0,0,0,182.21 °S,0.62
12/31/2025 10:00 PM,25.86,27.57,85.92,1009.1,0,0,0,182.23 °S,0.73
12/31/2025 11:00 PM,25.07,25.84,88.48,1008.93,0,0,0,182.22 °S,1.07
1/1/2026 12:00 AM,25.15,26.03,88.53,1008.81,0,0,0,182.23 °S,0.94
1/1/2026 01:00 AM,25.84,27.54,86.24,1008.45,0,0,0,182.23 °S,1.83
1/1/2026 02:00 AM,25.27,26.29,87.21,1008.07,0,0,0,182.23 °S,0.78
1/1/2026 03:00 AM,24.78,25.23,88.52,1007.9,0,0,0,182.22 °S,0.1
1/1/2026 04:00 AM,24.63,24.87,89.86,1008.07,0,0,0,182.22 °S,0.27
1/1/2026 05:00 AM,24.61,24.79,90.3,1008.09,0,0.01,0,182.22 °S,0.14
1/1/2026 06:00 AM,24.64,24.86,90.48,1008.73,0,1000.24,0.62,182.22 °S,0.08
1/1/2026 07:00 AM,25.47,26.73,88.66,1009.52,0,7371.86,3.03,182.22 °S,0.19
1/1/2026 08:00 AM,26.74,29.22,80.69,1010.52,0,9028.86,3.28,182.21 °S,0.38
1/1/2026 09:00 AM,27.63,30.89,77.57,1010.83,0,21869.11,5.63,182.22 °S,0.9
1/1/2026 10:00 AM,28.01,31.67,77.04,1010.84,0,20111.39,5.32,182.23 °S,2.18
1/1/2026 11:00 AM,28.83,33.03,73.66,1010.31,0,38590.26,8.37,182.25 °S,3.1
1/1/2026 12:00 PM,28.99,33.67,75.05,1009.51,0,44493.55,9.18,182.27 °S,5.56
1/1/2026 01:00 PM,28.55,32.8,76.11,1008.73,0,29016.81,6.85,182.23 °S,5.65
1/1/2026 02:00 PM,28.15,32.63,80.97,1008.27,0,21519.29,5.68,182.21 °S,5.9
1/1/2026 03:00 PM,28.43,33.03,79.08,1008.39,0,15031.87,4.53,182.22 °S,3.84
1/1/2026 04:00 PM,27.84,31.81,80.72,1008.76,0,6169.24,2.98,182.22 °S,2.28
1/1/2026 05:00 PM,27.44,31.04,82.49,1009.23,0,910.89,0.62,182.21 °S,2.15
1/1/2026 06:00 PM,27.15,30.41,83.14,1009.59,0,0.04,0,182.2 °S,1.44
1/1/2026 07:00 PM,27.02,30.09,83.08,1010.19,0,0,0,182.21 °S,0.79
1/1/2026 08:00 PM,26.87,29.78,83.73,1010.79,0,0,0,182.21 °S,0.88
1/1/2026 09:00 PM,26.62,29.29,84.95,1010.99,0,0,0,182.21 °S,1.38
1/1/2026 10:00 PM,26.51,29.03,85.03,1011.16,0,0,0,182.22 °S,0.87
1/1/2026 11:00 PM,25.58,26.98,89.15,1011.14,0.55,0,0,182.22 °S,0.3
1/2/2026 12:00 AM,25.37,26.5,91.36,1011.05,0.11,0,0,182.23 °S,0.45
