recordedAt,temperature,heatIndex,humidity,airPressure,precipitation,light,uvIndex,windDirection,windSpeed
12/31/2025 04:00 PM,31.41,36.24,62.13,996.53,0,2378.04,0,2.52 °N,0
12/31/2025 05:00 PM,27.42,30.65,79.9,997.14,0,179.68,0,3 °N,0
12/31/2025 06:00 PM,25.97,27.86,87.88,997.48,0,0.76,0,3 °N,0
12/31/2025 07:00 PM,25.26,26.22,92.11,998.27,0,0.8,0,3 °N,0
12/31/2025 08:00 PM,24.65,24.76,92.81,998.83,0,0.68,0,3 °N,0
12/31/2025 09:00 PM,24.12,23.4,94.95,998.93,0,0.62,0,3 °N,0
12/31/2025 10:00 PM,23.7,22.42,95.53,998.83,0,0.64,0,3 °N,0
12/31/2025 11:00 PM,23.66,22.56,93.5,998.72,0,0.65,0,3 °N,0
1/1/2026 12:00 AM,24.12,23.81,90.19,998.6,0,0.69,0,3 °N,0
1/1/2026 01:00 AM,24.11,23.74,90.69,998.25,0,0.72,0,3 °N,0
1/1/2026 02:00 AM,23.83,23,92.65,997.9,0,0.73,0,3 °N,0
1/1/2026 03:00 AM,23.6,22.36,94.17,997.79,0,0.73,0,3 °N,0
1/1/2026 04:00 AM,23.93,23.04,94.25,998,0,0.64,0,3 °N,0
1/1/2026 05:00 AM,24.04,23.22,94.8,998.22,0,0.69,0,3 °N,0
1/1/2026 06:00 AM,23.91,22.88,95.49,998.89,0,80.85,0,3 °N,0
1/1/2026 07:00 AM,25.14,25.78,91.94,999.6,0,2107.35,0,3.03 °N,0
1/1/2026 08:00 AM,26.43,28.64,81.79,1000.57,0,1658.39,0,3.15 °N,0
1/1/2026 09:00 AM,26.91,29.57,80.42,1000.83,0,2967.46,0,3.52 °N,0
1/1/2026 10:00 AM,29.17,33.35,71.36,1000.65,0,6258.03,0.05,5.97 °N,0
1/1/2026 11:00 AM,30.69,35.88,66.74,1000.07,0,6229.38,0.07,5.98 °N,0
1/1/2026 12:00 PM,30.52,35.76,67.85,999.22,0,5898.75,0.07,24.63 °NE,0.03
1/1/2026 01:00 PM,31,35.83,63.8,998.36,0,4564.6,0.02,123.95 °SE,0.03
1/1/2026 02:00 PM,30.24,34.77,66.61,997.8,0,4700.96,0,356.49 °N,0.01
1/1/2026 03:00 PM,29.61,34.29,70.92,997.95,0,2336.99,0,356.98 °N,0
1/1/2026 04:00 PM,28.38,32.52,76.89,998.19,0,954.94,0,357 °N,0
1/1/2026 05:00 PM,27.35,30.85,82.68,998.63,0,124.42,0,357 °N,0
1/1/2026 06:00 PM,26.16,28.29,86.77,999.09,0,0.69,0,357 °N,0
1/1/2026 07:00 PM,25.65,27.14,88.28,999.87,0,0.69,0,357 °N,0
1/1/2026 08:00 PM,25.52,26.84,87.43,1000.53,0,0.65,0,357 °N,0
1/1/2026 09:00 PM,25.38,26.51,90.16,1000.94,0,0.69,0,356.62 °N,0.05
1/1/2026 10:00 PM,24.57,24.55,92.99,1001.36,46.31,0.62,0,356 °N,0.02
1/1/2026 11:00 PM,23.75,22.4,96.37,1001.32,15.73,0.66,0,356.98 °N,0.01
1/2/2026 12:00 AM,23.49,21.68,97.65,1001.13,35.64,0.65,0,357.05 °N,0.02
1/2/2026 01:00 AM,23.48,21.57,98.27,1000.76,22.77,0.68,0,357 °N,0
1/2/2026 02:00 AM,23.3,21.1,98.67,1000.26,28.82,0.65,0,357 °N,0
1/2/2026 03:00 AM,22.89,20.19,98.83,999.96,4.84,0.77,0,357 °N,0
1/2/2026 04:00 AM,22.84,20.06,98.97,1000.18,4.95,0.69,0,357 °N,0
1/2/2026 05:00 AM,22.85,20.05,99.15,1000.52,1.1,0.64,0,357 °N,0
1/2/2026 06:00 AM,22.73,19.76,99.3,1001.28,1.21,21.14,0,357 °N,0
1/2/2026 07:00 AM,22.75,19.81,99.33,1002.17,4.62,273.85,0,357 °N,0
1/2/2026 08:00 AM,22.95,20.22,99.32,1003.02,0.66,660.65,0,357 °N,0
1/2/2026 09:00 AM,23.29,21.07,98.74,1003.4,0,1475.04,0,357 °N,0
1/2/2026 10:00 AM,24.95,25.3,91.85,1003.19,0,2764.78,0.03,355.77 °N,0
1/2/2026 11:00 AM,26.56,28.75,79.5,1002.61,0,4280.58,0,174.1 °S,0.09
1/2/2026 12:00 PM,27.07,29.65,77.46,1001.9,0,4638.57,0.07,18.87 °N,0
1/2/2026 01:00 PM,27.62,30.3,72.93,1000.96,0,5146.01,0.17,98.42 °E,0.11
1/2/2026 02:00 PM,26.66,28.71,75.96,1000.6,0,2356.56,0,167.3 °S,0.01
1/2/2026 03:00 PM,25.66,27.03,80.11,1000.61,0,894.67,0,336 °NW,0
1/2/2026 04:00 PM,24.87,25.51,85.15,1001.17,0,541.93,0,336 °NW,0
1/2/2026 05:00 PM,24.09,24,87.02,1001.71,0,84.37,0,336 °NW,0
1/2/2026 06:00 PM,22.99,21.52,91.95,1002.18,0.22,0.68,0,336 °NW,0
1/2/2026 07:00 PM,22.64,20.34,95.34,1002.95,0.11,0.65,0,336 °NW,0
1/2/2026 08:00 PM,22.45,19.71,96.8,1003.43,0,0.71,0,336 °NW,0
1/2/2026 09:00 PM,22.21,19.13,97.5,1003.6,0.11,0.71,0,336 °NW,0
1/2/2026 10:00 PM,22.2,19.02,97.99,1003.44,0,0.71,0,336 °NW,0
1/2/2026 11:00 PM,22.12,18.93,97.76,1003.5,0,0.69,0,336 °NW,0
1/3/2026 12:00 AM,22.3,19.61,96.03,1003.5,0,0.73,0,336.28 °NW,0
1/3/2026 01:00 AM,22.61,20.64,93.47,1003.02,0,0.73,0,336.16 °NW,0
1/3/2026 02:00 AM,22.78,21.12,92.3,1002.35,0,0.72,0,336 °NW,0
1/3/2026 03:00 AM,22.86,21.25,92.37,1002.16,0,0.68,0,336 °NW,0
1/3/2026 04:00 AM,22.7,21.14,91.48,1002.15,0,0.69,0,336 °NW,0
1/3/2026 05:00 AM,22.54,21.13,90.02,1002.29,0,0.57,0,248.58 °W,0.03
1/3/2026 06:00 AM,22.85,21.93,87.82,1002.93,0,96.2,0,21 °N,0.05
1/3/2026 07:00 AM,23.38,23.13,84.4,1003.71,0,1196.11,0,19.97 °N,0.05
1/3/2026 08:00 AM,24.41,24.9,80.93,1004.34,0,2958.58,0,218.25 °SW,0.14
1/3/2026 09:00 AM,25.75,27.11,77.21,1004.45,0,5949.28,0.43,122.13 °SE,0.18
1/3/2026 10:00 AM,27.36,29.51,70.39,1003.98,0,7920.94,0.68,131.33 °SE,0.45
1/3/2026 11:00 AM,29.25,31.75,61.72,1003.51,0,11743.81,1.56,175.44 °S,0.81
1/3/2026 12:00 PM,29.38,31.87,60.94,1002.72,0,7360.4,0.23,186.7 °S,0.65
1/3/2026 01:00 PM,29.58,31.99,59.53,1001.84,0,5353.93,0.18,204.1 °SW,0.53
1/3/2026 02:00 PM,27.82,29.69,64.56,1001.27,0,6614.47,0.12,71.87 °E,0.44
1/3/2026 03:00 PM,27.06,28.68,66.7,1001.15,0,4975.28,0.12,75.57 °E,0.5
1/3/2026 04:00 PM,26.07,27.37,69.12,1001.57,0,2894.37,0,17.85 °N,0.36
1/3/2026 05:00 PM,24.97,25.94,71.27,1002.21,0,342.69,0,23.33 °NE,0.39
1/3/2026 06:00 PM,24.44,25.26,73.15,1002.68,0,0.69,0,12.03 °N,0.15
1/3/2026 07:00 PM,24.04,24.76,74.28,1003.75,0,0.72,0,19.26 °N,0.17
1/3/2026 08:00 PM,23.5,23.91,77.83,1004.41,0,0.83,0,90.95 °E,0.06
1/3/2026 09:00 PM,23.14,23.29,80.1,1004.75,0,0.83,0,90.95 °E,0.03
1/3/2026 10:00 PM,23.22,23.62,77.64,1004.72,0,0.82,0,90.92 °E,0.07
1/3/2026 11:00 PM,23.01,23.46,77.04,1004.45,0,0.75,0,90.95 °E,0.08
1/4/2026 12:00 AM,22.35,22.82,77.64,1004.14,0,0.69,0,90.92 °E,0.1
1/4/2026 01:00 AM,22.01,22.59,77.47,1003.7,0,0.8,0,68.87 °E,0.18
1/4/2026 02:00 AM,21.76,22.61,76.23,1003.26,0,0.67,0,27.41 °NE,0.11
1/4/2026 03:00 AM,21.53,22.38,76.82,1003.16,0,0.59,0,27.08 °NE,0.07
1/4/2026 04:00 AM,21.78,22.75,75.29,1003.19,0,0.62,0,24.55 °NE,0.19
1/4/2026 05:00 AM,21.98,23.05,73.97,1003.61,0,0.72,0,22.85 °NE,0.14
1/4/2026 06:00 AM,21.99,23.04,74.1,1004.07,0,525.06,0,20.78 °N,0.16
1/4/2026 07:00 AM,23.58,24.6,69.48,1004.67,0,5084.39,0,21.2 °N,0.41
1/4/2026 08:00 AM,26.79,27.91,61.15,1005.14,0,12225.85,1.45,63.22 °NE,0.35
1/4/2026 09:00 AM,27.53,28.79,60.06,1005.28,0,15717.92,2.42,164 °S,0.26
1/4/2026 10:00 AM,28.16,29.49,58.29,1005.11,0,15739.82,2.85,139.05 °SE,0.53
1/4/2026 11:00 AM,28.92,30.61,57.99,1004.35,0,14136.57,2.75,106.47 °E,0.66
1/4/2026 12:00 PM,28.5,30.38,61.24,1003.4,0,9128.52,1.33,48.26 °NE,0.31
1/4/2026 01:00 PM,29.35,31.65,59.97,1002.51,0,8246.82,1.35,126.57 °SE,0.35
1/4/2026 02:00 PM,28.11,29.99,63.23,1002.17,0,6161.53,0.13,107.25 °E,0.19
1/4/2026 03:00 PM,28.42,30.46,62.74,1002.04,0,6893.2,0.14,92.66 °E,0.07
1/4/2026 04:00 PM,27.35,29,65.2,1002.19,0,3991.15,0,90.37 °E,0.15
1/4/2026 05:00 PM,25.2,26.19,72.61,1002.5,0,466.86,0,89.85 °E,0.03
1/4/2026 06:00 PM,23.51,23.62,80.91,1003.03,0,0.65,0,89.75 °E,0.01
1/4/2026 07:00 PM,22.88,22.45,84.45,1003.51,0,0.64,0,89.7 °E,0
1/4/2026 08:00 PM,22.85,22.43,84.29,1003.89,0,0.73,0,89.97 °E,0
1/4/2026 09:00 PM,22.58,22.06,84.6,1004.02,0,0.83,0,90 °E,0
1/4/2026 10:00 PM,22.29,21.59,85.46,1003.95,0,0.83,0,90 °E,0.01
1/4/2026 11:00 PM,22.38,22.23,81.94,1003.93,0,0.83,0,89.82 °E,0.03
1/5/2026 12:00 AM,22.12,22.01,81.79,1003.66,0,0.83,0,86.73 °E,0.03
1/5/2026 01:00 AM,22.51,22.8,78.77,1003.09,0,0.82,0,79.85 °E,0.05
1/5/2026 02:00 AM,22.76,23.3,76.53,1002.25,0,0.75,0,79.87 °E,0.06
1/5/2026 03:00 AM,22.72,23.29,76.24,1001.93,0,0.75,0,79.93 °E,0.09
1/5/2026 04:00 AM,22.37,22.96,76.7,1002.17,0,0.63,0,79.48 °E,0.02
1/5/2026 05:00 AM,21.44,21.65,80.77,1002.62,0,0.68,0,79 °E,0
1/5/2026 06:00 AM,21.12,21.16,82.18,1003.12,0,201.7,0,79 °E,0
1/5/2026 07:00 AM,22.97,23.28,78.78,1003.82,0,4590.53,0,79.7 °E,0
1/5/2026 08:00 AM,27.02,28.53,65.64,1004.35,0,7890.81,0.1,79 °E,0.01
1/5/2026 09:00 AM,25.92,27.18,70.22,1004.2,0,5839.22,0.03,78.95 °E,0.07
1/5/2026 10:00 AM,26.86,28.58,69.48,1003.8,0,9383.26,1.17,78.93 °E,0.04
1/5/2026 11:00 AM,29.19,31.78,62.53,1003.14,0,23042.69,4.87,83.5 °E,0.16
1/5/2026 12:00 PM,32.82,36.4,51.67,1002.35,0,45240.92,8.25,196.82 °S,0.27
1/5/2026 01:00 PM,31.46,34.67,55.46,1001.47,0,20743.87,4.23,150.95 °SE,0.41
1/5/2026 02:00 PM,31.63,35.15,55.97,1000.84,0,5259.95,0.54,104.52 °E,0.15
1/5/2026 03:00 PM,30.89,34.31,58.73,1000.9,0,5624.18,0.05,57.85 °NE,0.07
1/5/2026 04:00 PM,29.86,33.04,62.59,1001.39,0,2771.53,0,63.18 °NE,0.02
1/5/2026 05:00 PM,27.35,29.73,72.86,1001.97,0,251.38,0,62 °NE,0
1/5/2026 06:00 PM,25.84,27.31,78.61,1002.72,0,0.72,0,62 °NE,0
1/5/2026 07:00 PM,25.22,26.22,82.41,1003.46,0,0.56,0,62 °NE,0
1/5/2026 08:00 PM,24.95,25.68,85.12,1004,0,0.64,0,62 °NE,0
1/5/2026 09:00 PM,24.37,24.37,88.93,1004.2,0,0.66,0,62 °NE,0
1/5/2026 10:00 PM,23.76,22.95,91.78,1004.03,0,0.72,0,62 °NE,0
1/5/2026 11:00 PM,23.5,22.19,93.95,1003.75,0,0.69,0,62 °NE,0
1/6/2026 12:00 AM,23.25,21.67,94.23,1003.13,0,0.8,0,62 °NE,0
1/6/2026 01:00 AM,23.19,21.29,95.91,1002.5,0,0.76,0,62 °NE,0
1/6/2026 02:00 AM,23.17,21.15,96.54,1002.25,0,0.76,0,62 °NE,0
1/6/2026 03:00 AM,23.15,21.32,95.22,1002,0,0.73,0,62 °NE,0
1/6/2026 04:00 AM,23.14,21.58,93.42,1002.1,0,0.68,0,62 °NE,0
1/6/2026 05:00 AM,23.19,21.62,93.69,1002.39,0,0.78,0,62 °NE,0
1/6/2026 06:00 AM,23.26,22.28,89.89,1003.02,0,304.96,0,61.12 °NE,0.01
1/6/2026 07:00 AM,24.03,23.67,89.88,1003.87,0,2631.42,0,61 °NE,0
1/6/2026 08:00 AM,26.22,28.29,83.92,1004.41,0,5864.82,0.18,61.9 °NE,0.01
1/6/2026 09:00 AM,28.78,32.6,72.37,1004.36,0,12645.12,2.65,61.92 °NE,0.04
1/6/2026 10:00 AM,30.8,34.72,61.22,1003.74,0,23641.11,6.57,60.1 °NE,0.1
1/6/2026 11:00 AM,31.79,36.12,58.32,1003.01,0,33665.68,8.12,93.85 °E,0.21
1/6/2026 12:00 PM,30.38,33.88,61.53,1002.15,0,13725.93,3.18,80.35 °E,0.14
1/6/2026 01:00 PM,29.27,32.69,66.71,1001.38,0,8530.1,0.88,61.85 °NE,0.08
1/6/2026 02:00 PM,29.92,34.04,66.54,1000.77,0,5745.25,0.08,58.6 °NE,0.03
1/6/2026 03:00 PM,29.99,34.25,66.78,1000.7,0,4239.86,0,22.84 °NE,0.05
1/6/2026 04:00 PM,28.49,32.03,72.4,1001.2,0,1628.61,0,3 °N,0
1/6/2026 05:00 PM,27,29.53,77.9,1001.6,0,259.61,0,3 °N,0
